               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.038097,            0.045389,            0.041925,             0.86502,             0.51851,             0.64027,             0.44682,            0.029905,            0.035882,            0.037122,             0.00505,             0.00505,             0.00505
                  52,            0.037078,            0.043086,            0.041538,             0.86794,             0.53546,             0.64327,             0.45354,            0.029639,            0.035121,            0.036475,            0.004951,            0.004951,            0.004951
                  53,            0.037994,            0.044777,            0.042378,             0.86403,             0.54139,             0.65444,             0.46166,             0.02942,            0.034925,            0.035693,            0.004852,            0.004852,            0.004852
                  54,            0.037217,             0.04474,            0.041623,             0.85896,             0.53919,             0.64664,              0.4584,             0.03007,             0.03585,            0.036303,            0.004753,            0.004753,            0.004753
                  55,            0.036269,            0.042934,            0.041011,             0.87761,             0.53859,             0.65646,             0.47573,            0.029497,            0.035567,            0.035902,            0.004654,            0.004654,            0.004654
                  56,            0.037171,            0.044425,            0.040195,             0.85291,             0.53303,             0.65002,             0.45604,            0.029301,            0.035695,            0.036754,            0.004555,            0.004555,            0.004555
                  57,            0.036831,            0.043977,            0.040301,             0.85129,             0.56145,             0.67333,              0.4851,            0.028806,            0.035362,              0.0351,            0.004456,            0.004456,            0.004456
                  58,            0.036288,             0.04246,            0.040573,             0.84313,             0.56237,             0.67304,             0.49273,            0.027898,            0.034796,            0.035014,            0.004357,            0.004357,            0.004357
                  59,            0.036377,             0.04245,            0.039202,             0.84085,             0.55997,             0.66589,             0.48048,             0.02889,            0.035545,            0.035446,            0.004258,            0.004258,            0.004258
                  60,            0.036356,            0.043757,            0.039423,             0.85003,             0.57415,             0.68354,             0.49413,            0.028562,            0.035593,            0.034852,            0.004159,            0.004159,            0.004159
                  61,            0.036121,            0.043307,            0.040112,             0.86976,             0.57322,             0.69039,             0.49782,            0.029137,            0.035101,            0.033926,             0.00406,             0.00406,             0.00406
                  62,            0.035326,            0.042978,            0.038505,             0.87195,             0.56882,             0.69104,             0.50921,            0.028302,            0.034489,            0.033919,            0.003961,            0.003961,            0.003961
                  63,            0.035749,             0.04351,            0.038401,              0.8848,             0.56422,             0.69428,             0.49568,            0.028613,            0.034948,             0.03372,            0.003862,            0.003862,            0.003862
                  64,             0.03537,            0.041856,            0.038531,             0.88566,             0.58571,             0.71358,             0.53036,            0.027566,              0.0338,             0.03271,            0.003763,            0.003763,            0.003763
                  65,            0.034987,             0.04291,            0.038328,             0.88759,             0.57364,             0.70944,             0.52397,            0.027567,            0.033364,            0.032865,            0.003664,            0.003664,            0.003664
                  66,            0.034828,            0.041075,            0.038023,             0.85754,             0.58443,             0.70207,             0.51367,            0.027742,            0.034843,            0.033347,            0.003565,            0.003565,            0.003565
                  67,            0.035069,            0.042765,            0.037909,              0.8654,             0.58623,             0.70721,             0.52601,            0.027994,            0.034605,            0.033601,            0.003466,            0.003466,            0.003466
                  68,            0.034969,            0.042667,            0.037639,             0.88793,             0.59559,             0.72074,             0.53654,            0.027513,            0.034173,            0.032519,            0.003367,            0.003367,            0.003367
                  69,            0.033819,            0.042419,              0.0372,             0.87865,             0.59433,             0.72149,             0.54115,             0.02679,              0.0336,            0.032649,            0.003268,            0.003268,            0.003268
                  70,            0.034537,            0.043108,            0.037341,             0.87298,             0.60177,              0.7254,             0.54366,            0.027416,            0.033989,            0.032277,            0.003169,            0.003169,            0.003169
                  71,            0.033636,            0.041174,            0.036842,              0.8736,              0.6068,             0.73064,             0.55251,            0.027087,            0.033944,            0.032105,             0.00307,             0.00307,             0.00307
                  72,            0.033509,            0.042076,            0.036109,             0.87534,             0.61635,             0.74285,             0.56647,            0.026156,            0.033534,            0.031379,            0.002971,            0.002971,            0.002971
                  73,            0.033464,            0.042435,            0.036157,              0.8874,             0.61278,             0.74744,             0.56298,            0.026665,            0.033442,            0.031037,            0.002872,            0.002872,            0.002872
                  74,            0.033463,            0.041421,            0.036074,             0.88753,             0.62179,              0.7534,             0.57376,            0.026028,            0.033505,            0.030376,            0.002773,            0.002773,            0.002773
                  75,            0.033428,            0.044091,            0.035986,             0.87282,             0.62253,             0.74426,             0.56388,            0.026598,            0.033982,            0.031143,            0.002674,            0.002674,            0.002674
                  76,             0.03285,            0.041543,            0.035442,             0.89311,             0.62874,             0.76141,             0.57858,            0.026109,            0.033578,            0.030077,            0.002575,            0.002575,            0.002575
                  77,            0.033246,            0.041182,            0.035815,             0.86567,             0.63456,             0.75525,             0.57816,            0.026302,            0.033376,            0.030434,            0.002476,            0.002476,            0.002476
                  78,            0.032414,            0.040994,            0.034916,             0.87761,             0.63033,             0.76032,             0.58143,            0.026057,            0.033592,            0.030072,            0.002377,            0.002377,            0.002377
                  79,            0.032268,            0.041244,            0.035193,             0.87922,             0.63485,             0.76564,             0.58479,            0.026135,            0.033235,            0.029634,            0.002278,            0.002278,            0.002278
                  80,            0.032114,             0.04015,            0.034436,              0.8893,             0.63544,             0.76988,             0.59092,            0.025835,            0.033464,            0.029463,            0.002179,            0.002179,            0.002179
                  81,             0.03187,            0.041057,            0.035615,             0.88325,             0.62898,             0.76371,             0.58178,               0.026,            0.033307,            0.029979,             0.00208,             0.00208,             0.00208
                  82,             0.03146,            0.039958,            0.033788,             0.86498,             0.64848,             0.76734,             0.58474,            0.026007,            0.033415,            0.029866,            0.001981,            0.001981,            0.001981
                  83,            0.031665,            0.040733,            0.033961,             0.88775,              0.6377,             0.77122,             0.59243,            0.026004,            0.034029,             0.02927,            0.001882,            0.001882,            0.001882
                  84,            0.031273,             0.04058,            0.033786,             0.88857,             0.64066,             0.77665,             0.60454,            0.025552,            0.033482,            0.028741,            0.001783,            0.001783,            0.001783
                  85,            0.030996,            0.038801,            0.033481,             0.89173,             0.64424,             0.77922,             0.60504,            0.025546,            0.033257,            0.028463,            0.001684,            0.001684,            0.001684
                  86,            0.031198,             0.03978,            0.034027,             0.88989,              0.6517,             0.78431,             0.60848,            0.025343,            0.033059,            0.027968,            0.001585,            0.001585,            0.001585
                  87,            0.031153,            0.039738,            0.032861,             0.88078,             0.65334,             0.78073,             0.60685,            0.024987,            0.032785,            0.028289,            0.001486,            0.001486,            0.001486
                  88,            0.030822,            0.040598,            0.033366,             0.87399,             0.64975,             0.77809,             0.60687,            0.025101,            0.032972,            0.028233,            0.001387,            0.001387,            0.001387
                  89,            0.030047,            0.041081,             0.03287,              0.8831,             0.65552,             0.78492,             0.61797,            0.024535,            0.032402,             0.02758,            0.001288,            0.001288,            0.001288
                  90,            0.030353,            0.039726,            0.032601,             0.87918,             0.65282,             0.78615,             0.61812,            0.024607,            0.032542,            0.027719,            0.001189,            0.001189,            0.001189
                  91,             0.03007,            0.038271,            0.033651,              0.8765,             0.66064,             0.79111,             0.62577,            0.024431,            0.032251,            0.027091,             0.00109,             0.00109,             0.00109
                  92,            0.029474,             0.03948,            0.032784,             0.88678,             0.64868,             0.78697,             0.62285,            0.024411,            0.032721,            0.027441,            0.000991,            0.000991,            0.000991
                  93,             0.02938,            0.039697,            0.032224,             0.89237,              0.6452,             0.78513,             0.61892,            0.024457,            0.032885,            0.027453,            0.000892,            0.000892,            0.000892
                  94,            0.029198,            0.039075,            0.031996,             0.89977,             0.64452,             0.78631,             0.62686,            0.024156,            0.032307,            0.027088,            0.000793,            0.000793,            0.000793
                  95,            0.028672,            0.037987,            0.031475,             0.90365,             0.64081,             0.78887,             0.63062,            0.024157,            0.032147,            0.026892,            0.000694,            0.000694,            0.000694
                  96,            0.028996,            0.039878,            0.031924,             0.89005,             0.64993,             0.78968,             0.63035,            0.023985,            0.032274,             0.02679,            0.000595,            0.000595,            0.000595
                  97,             0.02826,             0.03816,            0.032108,             0.88565,             0.65168,             0.78969,             0.63082,            0.024051,            0.032588,            0.026688,            0.000496,            0.000496,            0.000496
                  98,            0.028149,            0.038903,            0.032044,             0.89104,             0.65028,             0.79011,             0.63273,            0.023814,            0.032367,            0.026734,            0.000397,            0.000397,            0.000397
                  99,            0.028246,             0.03913,            0.031788,              0.9052,             0.64283,             0.79342,              0.6381,             0.02382,            0.032286,            0.026354,            0.000298,            0.000298,            0.000298
